"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Name Basiswert 1","Name Basiswert 2"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","02 Ludwigsvorstadt - Isarvorstadt","40.4","4828.5","11939.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","03 Maxvorstadt","44.3","4886.8","11021","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","04 Schwabing - West","46","5333.8","11585.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","05 Au - Haidhausen","47.1","5218.5","11084.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","06 Sendling","45.1","3796.3","8416.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","07 Sendling - Westpark","46.1","5324.8","11549.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","08 Schwanthalerhöhe","45.9","3713","8089","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","09 Neuhausen - Nymphenburg","45.1","8263.8","18310.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","10 Moosach","46.4","5534.8","11918","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","11 Milbertshofen - Am Hart","44.8","10340","23098","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","12 Schwabing - Freimann","41.5","6119","14738","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","13 Bogenhausen","43.1","5786","13415.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","14 Berg am Laim","49","4967.8","10145.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","15 Trudering - Riem","45.7","4820.8","10556.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","16 Ramersdorf - Perlach","47.3","12208.3","25806","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","17 Obergiesing - Fasangarten","45.7","5575.3","12196.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","18 Untergiesing - Harlaching","44.7","4090.8","9148.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","42.5","7116","16726.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","20 Hadern","46","4358.8","9473.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","21 Pasing - Obermenzing","45.2","4942.5","10925.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","22 Aubing - Lochhausen - Langwied","44.6","3380.5","7575.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","23 Allach - Untermenzing","44.8","2031.5","4534.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","24 Feldmoching - Hasenbergl","46.1","6564","14231.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2013","25 Laim","48.8","5257","10763.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","Stadt München","44.1","126192.5","286121.5","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","01 Altstadt - Lehel","39.7","1527.3","3851.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","02 Ludwigsvorstadt - Isarvorstadt","40.6","4563","11238.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","03 Maxvorstadt","43.1","4471","10369.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","04 Schwabing - West","44.2","4962.8","11222.3","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","05 Au - Haidhausen","45.9","4848.3","10559.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
"Sozialversicherungspflichtig Beschäftigtendichte","ausländisch","2012","06 Sendling","44.2","3594.8","8133.8","Ausländische Sozialversicherungpflichtig Beschäftigte","Ausländische erwerbsfähige Einwohner_innen (15 bis unter 65 Jahre)"
